index,name,latitude,longitude,牛排,日式料理,義式料理,中式料理,咖啡廳,燒烤
103,福星咖啡廳,24.8010541,120.96825149999995,0,0,0,0,1,0
104,摩瑪人文咖啡館,24.7993344,120.97545600000001,0,0,0,0,1,0
105,藍緹咖啡坊,24.8036229,120.98936260000005,0,0,0,0,1,0
106,李金館食堂,24.8133948,120.98074399999996,0,0,0,0,1,0
107,六角咖啡,24.8123881,121.02043989999993,0,0,0,0,1,0
108,肥仔龍無煙鐵板燒,24.7977076,120.9981444,0,0,0,0,0,1
109,大村武串燒居酒屋-新竹店,24.8054695,120.97031820000007,0,1,0,0,0,1
110,升一排骨,24.8041011,120.97520310000004,0,0,0,0,0,1
111,金太朗日式碳火燒肉,24.8095862,120.96607760000006,0,1,0,0,0,1
112,小范炭燒店,24.8317604,121.01542740000002,0,0,0,0,0,1
113,東林無煙鐵板燒,24.8076791,120.96413200000006,0,0,0,0,0,1
114,珍旺鐵板燒,24.8130693,120.96354589999999,1,0,0,0,0,1
115,鮮極日本料理,24.7859554,121.02100259999997,0,1,0,0,0,1
116,蚊子海鮮燒烤 香山,24.7979988,120.94888430000003,0,0,0,1,0,1
117,雅味無煙鐵板燒 香山,24.7558487,120.95267969999998,0,0,0,0,0,1
118,紅谷無煙鐵板燒,24.8359324,121.01035139999999,0,0,0,0,0,1
119,太郎燒肉,24.8097521,120.97751300000004,0,0,0,0,0,1
120,區野平價海鮮碳烤 香山,24.8051244,120.93792600000006,0,0,0,0,0,1
121,詹師傅燒肉飯,24.8037387,120.97179430000006,0,0,0,0,0,1
122,草堂炭火串燒,24.813492,120.97164799999996,0,0,0,0,0,1
123,烤舖.吧,24.7684419,120.97706140000003,0,1,0,0,0,1
124,四川段純貞牛肉麵,24.8026457,120.99378530000001,0,0,0,1,0,0
125,點水樓 - 新竹店,24.8096249,120.97587380000004,0,0,0,1,0,0
126,菜園上海餐廳,24.808519,120.97211199999992,0,0,0,1,0,0
127,玖樓中餐廳 - 新竹國賓大飯店,24.8064019,120.97826600000008,0,0,0,1,0,0
128,傳家生活小館,24.7827219,121.01907389999997,0,0,0,1,0,0
129,雅啤川菜新竹店,24.8032161,120.97973980000006,0,0,0,1,0,0
130,Yummy私房料理,24.807271,120.97802999999999,0,0,0,1,0,0
131,魚羊小集,24.7784044,121.02166469999997,0,0,0,1,0,0
132,鮮友火鍋 新竹經國店,24.8088147,120.95896019999998,0,0,0,1,0,0
133,小蒙牛頂級麻辣養生鍋 新竹店,24.8021061,120.97038599999996,0,0,0,1,0,0
134,精彩火鍋 新竹公道五店,24.7984613,121.00649509999994,0,0,0,1,0,0
135,1010湘 新竹SOGO店,24.8029,120.97194000000002,0,0,0,1,0,0
136,開飯川食堂(新竹巨城店),24.8097271,120.97558230000004,0,0,0,1,0,0
137,元鼎府火鍋 芙洛麗大飯店,24.807079,120.97523100000001,0,0,0,1,0,0
138,竹湖暐順麗緻文旅,24.78915,121.00299300000006,0,0,1,1,0,0
139,海底撈火鍋新竹分店,24.8018619,120.96466599999997,0,0,0,1,0,0
140,瑩珍園小館,24.8148193,120.97428360000004,0,0,0,1,0,0
141,新橋弄堂精緻上海料理,24.8050467,120.97046840000007,0,0,0,1,0,0
142,醉月樓港式海鮮餐廳,24.7753331,120.96764600000006,0,0,0,1,0,0
143,荷竹園餐廳,24.820537,120.96570399999996,0,0,0,1,0,0
144,薯霸早餐,24.8090908,120.9698052,0,0,0,1,0,0
145,西大發城隍包,24.8046441,120.96550490000004,0,0,0,1,0,0
146,翁記燉品滷肉飯 香山,24.7983147,120.95584269999995,0,0,0,1,0,0
147,鉄喫茶燒餃子,24.795179,120.96070639999994,0,1,0,1,0,0
148,老漁港新海鮮美式餐廳,24.8474806,120.92984230000002,0,0,0,1,0,0
149,小洋樓,24.7938677,120.9668001,0,0,0,1,0,0
150,老九門海鮮燒物,24.813043,120.97493499999996,0,0,0,1,0,0
151,浪人炭燒,24.8051548,120.96546710000007,0,1,0,1,0,0
